"id","name","reference","material_id/id"
"ecoembes_submaterial_00_02","PAPEL/CARTON","00","ecoembes.ecoembes_material_02"
"ecoembes_submaterial_00_05","MADERA/CORCHO","00","ecoembes.ecoembes_material_05"
"ecoembes_submaterial_00_07","VIDRIO","00","ecoembes.ecoembes_material_07"
"ecoembes_submaterial_00_09","CARTÓN BEB./ALIM.","00","ecoembes.ecoembes_material_09"
"ecoembes_submaterial_00_10","CERAMICA","00","ecoembes.ecoembes_material_10"
"ecoembes_submaterial_00_11","OTROS","00","ecoembes.ecoembes_material_11"
"ecoembes_submaterial_01_01","PET","01","ecoembes.ecoembes_material_01"
"ecoembes_submaterial_02_01","HDPE Flexible","02","ecoembes.ecoembes_material_01"
"ecoembes_submaterial_03_01","PVC","03","ecoembes.ecoembes_material_01"
"ecoembes_submaterial_04_01","OTROS","04","ecoembes.ecoembes_material_01"
"ecoembes_submaterial_05_01","LDPE","05","ecoembes.ecoembes_material_01"
"ecoembes_submaterial_06_01","HDPE (Cuerpo Rígido y Bolsa Reutilizable)","06","ecoembes.ecoembes_material_01"
"ecoembes_submaterial_40_04","ACERO","40","ecoembes.ecoembes_material_04"
"ecoembes_submaterial_41_04","ALUMINIO","41","ecoembes.ecoembes_material_04"
